conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,gestionar tareas en relación con los músicos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,supervisar los procedimientos de las instalaciones penitenciarias,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,emplear prácticas no opresivas,"utilizar prácticas no opresivas
usar prácticas no opresivas
actuar de forma no opresiva",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,garantizar el cumplimiento de las normas aplicables a vehículos ferroviarios,"controlar el cumplimiento de las normas aplicables a vehículos ferroviarios
asegurar el cumplimiento de las normas aplicables a vehículos ferroviarios
supervisar el cumplimiento de las normas aplicables a vehículos ferroviarios",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,seleccionar los servicios disponibles,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,realizar estudios toxicológicos,hacer estudios toxicológicos,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,garantizar la uniformidad de los moldes de concha,"verificar la homogeneidad de los moldes de concha
garantizar la uniformidad de las cáscaras de moldeo
asegurar la uniformidad de los moldes de concha",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,skill/competence,cross-sector,aplicar principios diplomáticos,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,skill/competence,sector-specific,dirigir investigaciones policiales,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,skill/competence,sector-specific,manipular desechos de la acuicultura,"eliminar desechos de la acuicultura
tirar desechos de la acuicultura
deshacerse de desechos de la acuicultura",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,skill/competence,cross-sector,desarrollar conceptos de ahorro de energía,"elaborar conceptos de ahorro energético
proyectar medidas de ahorro energético",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,skill/competence,sector-specific,realizar intervenciones de trabajo social en la calle,llevar a cabo intervenciones de trabajo social en la calle,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,skill/competence,sector-specific,trabajar con solistas,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355,knowledge,cross-sector,medicina deportiva y del ejercicio,"prevención de lesiones o enfermedades causados por deportes
tratamiento de lesiones o enfermedades causados por actividades deportivas",
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,skill/competence,sector-specific,realizar investigación sobre la flora,,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,skill/competence,cross-sector,instalar bombas de calor,colocar bombas de calor,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,skill/competence,occupation-specific,manejar máquinas en trabajos verticales en cuerda,manejar máquinas en andamiaje suspendido,
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,skill/competence,cross-sector,enseñar economía doméstica,,
